"","id","name","type","n","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","ICC1","ICC2"
"1","age","age","numeric",43046,9,3.95720856757887,4,4,NA,1.64429606944099,NA,1,8,7,-0.164207281520249,-6.95453863304575,-0.973819950483132,-20.6221846805807,NA,NA
"2","avoid_crowd","avoid_crowd","numeric",31360,8,6.26776147959184,7,7,NA,1.16832630159959,NA,1,7,6,-2.0712762732466,-74.8757538721485,4.59706113004396,83.0935485437837,0.607227802742754,0.732843906608831
"3","clear_message","clear_message","numeric",43009,12,4.72326257294985,5,5,NA,1.63807480224537,NA,1,7,6,-0.509378247097655,-21.5640133505808,-0.443715826026896,-9.39234889194296,0.585339280270839,0.714666311167385
"4","clear_message","clear_message_b","numeric",18782,7,5.02596102651475,5.8,5.8,NA,1.7548172252806,NA,1,7,6,-0.692711874507726,-19.3799481156377,-0.3986769794324,-5.57717477189557,0.585339280270839,0.714666311167385
"5","conspiracy1","conspiracy1","numeric",29182,12,5.06370365293674,5.2,5.2,NA,1.55511136857496,NA,1,7,6,-0.547488337362688,-19.0918977471108,-0.333198314167069,-5.80980967406975,0.581503748776036,0.711437297983988
"6","country","country","integer",43050,24,11.7812775842044,12,12,NA,6.30234038203198,NA,1,23,22,-0.0467239071627307,-1.97895191081679,-1.09160183302899,-23.1174770611489,NA,NA
"7","date","date","numeric",43056,41748,13807623662.6211,13806941349.5,13806941349.5,NA,1618262.69520112,NA,13805902788,13813364244,7461456,1.01367032370089,42.9361481629894,-0.100316314247045,-2.1246040505537,0.245535521813301,0.366063687444326
"8","days_left_house","days_left_house","numeric",43052,5,2.50322865372108,2,2,NA,1.08057909761426,NA,1,4,3,0.209218778895312,8.86149177469297,-1.27410300791176,-26.9830356294803,0.661442195301284,0.776112388876958
"9","distancing_social_norm","distancing_social_norm","numeric",31065,8,5.66302913246419,6,6,NA,1.46053532495592,NA,1,7,6,-1.2352719414598,-44.4440475636494,1.12311715598095,20.2050564968502,0.374205897517162,0.514798218693759
"10","Dt","Dt","numeric",10546,10045,602890.456571212,604833.5,604833.5,NA,149529.887293332,NA,-1157008,4842500,5999508,4.49567182021327,94.2528783964483,117.865414005474,1235.65594069931,NA,NA
"24","economic_risk_perception","economic_risk_perception","numeric",36439,9,3.80282115316008,3.57142857142857,3.57142857142857,NA,1.56522706829624,NA,1,7,6,0.0697659112543725,2.71855893179383,-0.548694167001781,-10.6907394243135,0.646133879336486,0.764140155906929
"25","education","education","numeric",42969,8,3.97935721101259,4,4,NA,1.37821483020061,NA,1,7,6,-0.0521321056757025,-2.20593356755291,-0.781226733294955,-16.5289158375903,NA,NA
"26","employment_status","employment_status","numeric",33520,3,0.522016706443914,1,1,NA,0.49952248060748,NA,0,1,1,-0.088148383608903,-3.29442913650249,-1.99228929563533,-37.2306978217089,0.860503923022589,0.916284832580753
"27","face_mask","face_mask","numeric",5895,6,4.79669211195929,5.5,5.5,NA,2.43296922353134,NA,1,7,6,-0.623791798094449,-9.77881907270853,-1.26102406915927,-9.88584285934379,0.798095706309616,0.87521312345205
"28","gender","gender","numeric",42945,3,0.478751891954826,0,0,NA,0.499554130126303,NA,0,1,1,0.0850663100909718,3.59851606620893,-1.99281012503604,-42.15138872102,NA,NA
"29","id","id","integer",43056,24266,12203.3921404682,12658,12658,NA,7481.52042779014,NA,1,25440,25439,0.0185161181999189,0.784289305750387,-1.17014857265586,-24.7826329732555,NA,NA
"30","leave_house_leisure_others","leave_house_leisure_others","numeric",40996,3,0.070299541418675,0,0,NA,0.255654278616997,NA,0,1,1,3.36149255458759,138.935479598889,9.29985904429465,192.193180113155,0.204217408598836,0.312874357070684
"31","mandatory_quarantine","mandatory_quarantine","numeric",33910,8,5.91857859038632,6,6,NA,1.40471641742963,NA,1,7,6,-1.55311050817449,-58.3821173863701,2.13941408425061,40.2119508289671,0.574401622735061,0.70542319203182
"32","mandatory_vaccination","mandatory_vaccination","numeric",33916,8,5.20456421747848,6,6,NA,1.87020000143891,NA,1,7,6,-0.898859304512818,-33.7915114074966,-0.243197597086666,-4.57149221592852,0.698224568154655,0.804125789995019
"33","political_view","political_view","numeric",34759,8,4.18409620529935,4,4,NA,1.95070565621137,NA,1,7,6,-0.205552011658375,-7.82291277311007,-1.26893454586857,-24.147294190218,NA,NA
"34","political_viewx","political_viewx","numeric",43056,451,3.28488480118915,0,0,NA,69.6191220031189,NA,-261,257,518,0.0122568075733184,0.519162979983358,0.0818417598788534,1.733330573877,NA,NA
"35","political_viewy","political_viewy","numeric",43056,369,19.0051328502415,1,1,NA,60.2303517370332,NA,-213,187,400,0.0967289948400403,4.09716093783416,0.184680769583642,3.9113629130203,NA,NA
"36","preference_tightness","preference_tightness","numeric",29199,31,4.67481334977225,4.75,4.75,NA,1.57079183424534,NA,1,7,6,-0.34252779378683,-11.9480352227586,-0.571413503826018,-9.96634806407086,0.417090688283907,0.559392633017489
