"Country","wash_hands","avoid_crowd","quarantine","mandatory_vaccination","mandatory_quarantine","contain_protest","willvacc","face_mask","days_left_house","leavleis","frienfam","social_contact_others"
"United States of America",94,94,94,94,94,41,37,34,109,48,109,109
"United Kingdom",191,191,191,191,191,116,104,99,232,154,232,231
"Ukraine",103,103,103,103,103,37,23,33,142,66,142,141
"Turkey",103,103,103,103,103,12,9,9,116,27,114,113
"Spain",191,191,191,190,190,94,70,82,229,115,227,227
"South Korea",5,5,5,5,5,2,1,2,11,7,11,11
"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russia",159,159,159,159,159,26,43,24,164,35,163,164
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Republic of Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",132,132,132,132,132,147,83,134,194,121,194,192
"Japan",63,63,63,63,63,35,31,32,70,33,69,70
"Italy",331,331,331,331,331,143,136,128,355,152,355,352
"Greece",101,101,101,101,101,68,45,60,171,109,171,171
"Germany",189,189,189,189,189,127,94,114,225,139,223,224
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",166,166,166,166,166,63,61,52,184,58,183,183
"Brazil",166,166,166,166,166,65,49,59,181,62,180,179
"Australia",151,151,151,151,151,69,62,58,161,56,161,160
"Argentina",159,159,159,159,159,47,49,43,190,68,189,188
"Saudi Arabia",34,34,34,34,34,11,5,6,49,24,49,48
"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia",69,69,69,69,69,14,2,11,85,26,85,85
"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
