"paramheader","param","est_sig","pval","confint"
"DV_CONTAIN.ON","TIGHTNESS","0.02","0.81","[-0.17,  0.21]"
"Means","date","0.00","0.59","[-0.01,  0.02]"
"Means","Dt","-0.02","0.69","[-0.12,  0.08]"
"Means","clear_message","-0.08","0.11","[-0.18,  0.02]"
"Means","trust_government","-0.03","0.74","[-0.18,  0.13]"
"Means","proximity_corona","0.04","0.72","[-0.20,  0.29]"
"Means","contain_protest","1.06***","0.00","[ 0.65,  1.47]"
"Means","age","-0.11","0.47","[-0.40,  0.19]"
"Means","gender","0.10","0.50","[-0.19,  0.38]"
"Means","religious","0.14**","0.01","[ 0.04,  0.24]"
"Means","politx","-0.01","0.84","[-0.12,  0.10]"
"Means","polity","-0.04","0.31","[-0.12,  0.04]"
"Means","political_view","0.06","0.61","[-0.17,  0.29]"
"Means","education","0.00","0.99","[-0.05,  0.05]"
"Variances","date","0.00","1.00","[ 0.00,  0.00]"
"Variances","Dt","0.00","0.92","[-0.02,  0.03]"
"Variances","clear_message","0.16","0.66","[-0.57,  0.90]"
"Variances","trust_government","0.00","0.98","[-0.28,  0.29]"
"Variances","proximity_corona","0.15","0.79","[-0.97,  1.27]"
"Variances","contain_protest","0.34**","0.00","[ 0.10,  0.59]"
"Variances","age","0.01","0.98","[-0.70,  0.72]"
"Variances","gender","0.02","0.98","[-2.25,  2.29]"
"Variances","religious","0.18","0.64","[-0.58,  0.95]"
"Variances","politx","0.00","0.99","[-0.98,  0.98]"
"Variances","polity","0.00","1.00","[-1.80,  1.80]"
"Variances","political_view","0.00","0.99","[-0.96,  0.97]"
"Variances","education","0.01","0.95","[-0.30,  0.32]"
