"paramheader","param","est_sig","pval","confint"
"DV_FACE_MA.ON","TIGHTNESS","0.04","0.78","[-0.27,  0.35]"
"Means","date","0.00","0.91","[-0.04,  0.04]"
"Means","Dt","0.03","0.43","[-0.05,  0.12]"
"Means","clear_message","0.01","0.88","[-0.10,  0.11]"
"Means","trust_government","-0.03","0.56","[-0.11,  0.06]"
"Means","proximity_corona","0.29","0.22","[-0.17,  0.75]"
"Means","face_mask","2.01***","0.00","[ 1.76,  2.26]"
"Means","age","0.03","0.71","[-0.13,  0.19]"
"Means","gender","-0.10","0.39","[-0.31,  0.12]"
"Means","religious","0.05","0.60","[-0.15,  0.26]"
"Means","politx","0.02","0.63","[-0.06,  0.10]"
"Means","polity","0.12","0.14","[-0.04,  0.28]"
"Means","political_view","-0.10*","0.04","[-0.20, -0.00]"
"Means","education","-0.02","0.63","[-0.09,  0.05]"
"Variances","date","0.00","1.00","[-0.00,  0.00]"
"Variances","Dt","0.00","0.87","[-0.03,  0.03]"
"Variances","clear_message","0.19","0.19","[-0.10,  0.48]"
"Variances","trust_government","0.15","0.59","[-0.40,  0.70]"
"Variances","proximity_corona","0.01","0.99","[-4.10,  4.13]"
"Variances","face_mask","0.15","0.80","[-1.06,  1.36]"
"Variances","age","0.19","0.64","[-0.61,  0.99]"
"Variances","gender","0.01","0.99","[-1.13,  1.15]"
"Variances","religious","0.01","0.99","[-2.21,  2.23]"
"Variances","politx","0.01","0.93","[-0.14,  0.15]"
"Variances","polity","0.01","0.96","[-0.23,  0.25]"
"Variances","political_view","0.02","0.96","[-0.83,  0.88]"
"Variances","education","0.01","0.98","[-0.61,  0.62]"
