"paramheader","param","est_sig","pval","confint"
"DV_FRIENFA.ON","TIGHTNESS","-0.02","0.77","[-0.17,  0.13]"
"Means","date","0.01","0.35","[-0.01,  0.03]"
"Means","Dt","-0.06","0.13","[-0.15,  0.02]"
"Means","risk_perception_infect","-0.05","0.20","[-0.13,  0.03]"
"Means","economic_risk_perception","-0.02","0.61","[-0.09,  0.05]"
"Means","distancing_social_norm","-0.17***","0.00","[-0.24, -0.09]"
"Means","clear_message","-0.04","0.28","[-0.10,  0.03]"
"Means","trust_government","0.05","0.20","[-0.02,  0.12]"
"Means","preference_tightness","-0.05","0.08","[-0.11,  0.01]"
"Means","punishing_deviation","-0.01","0.78","[-0.10,  0.07]"
"Means","conspiracy1","0.00","0.95","[-0.10,  0.10]"
"Means","employment_status","0.09","0.26","[-0.06,  0.23]"
"Means","proximity_corona","0.06","0.58","[-0.14,  0.26]"
"Means","frienfam","1.04***","0.00","[ 0.92,  1.17]"
"Means","age","-0.19***","0.00","[-0.28, -0.09]"
"Means","gender","0.16*","0.02","[ 0.03,  0.29]"
"Means","religious","0.02","0.86","[-0.16,  0.20]"
"Means","politx","0.04","0.15","[-0.01,  0.09]"
"Means","polity","0.02","0.70","[-0.06,  0.10]"
"Means","education","0.01","0.70","[-0.06,  0.09]"
"Variances","date","0.00","0.71","[-0.00,  0.00]"
"Variances","Dt","0.01","0.80","[-0.05,  0.06]"
"Variances","risk_perception_infect","0.02","0.90","[-0.27,  0.31]"
"Variances","economic_risk_perception","0.03","0.84","[-0.26,  0.32]"
"Variances","distancing_social_norm","0.10","0.35","[-0.11,  0.31]"
"Variances","clear_message","0.10","0.10","[-0.02,  0.21]"
"Variances","trust_government","0.01","0.90","[-0.18,  0.20]"
"Variances","preference_tightness","0.01","0.92","[-0.24,  0.26]"
"Variances","punishing_deviation","0.01","0.92","[-0.18,  0.20]"
"Variances","conspiracy1","0.07","0.44","[-0.10,  0.24]"
"Variances","employment_status","0.39","0.12","[-0.10,  0.87]"
"Variances","proximity_corona","0.07","0.82","[-0.58,  0.73]"
"Variances","frienfam","0.75***","0.00","[ 0.60,  0.90]"
"Variances","age","0.03","0.80","[-0.18,  0.23]"
"Variances","gender","0.17","0.24","[-0.11,  0.45]"
"Variances","religious","0.10","0.69","[-0.39,  0.59]"
"Variances","politx","0.05","0.41","[-0.07,  0.17]"
"Variances","polity","0.01","0.85","[-0.09,  0.11]"
"Variances","education","0.09","0.38","[-0.11,  0.28]"
