"paramheader","param","est_sig","pval","confint"
"DV_MANDATO.ON","TIGHTNESS","-0.01","0.85","[-0.11,  0.09]"
"Means","date","-0.02***","0.00","[-0.03, -0.01]"
"Means","Dt","0.00","0.94","[-0.07,  0.08]"
"Means","risk_perception_infect","0.05","0.11","[-0.01,  0.11]"
"Means","economic_risk_perception","-0.02","0.53","[-0.08,  0.04]"
"Means","clear_message","0.03","0.23","[-0.02,  0.07]"
"Means","trust_government","0.09**","0.00","[ 0.03,  0.14]"
"Means","punishing_deviation","0.00","0.85","[-0.05,  0.06]"
"Means","employment_status","0.00","0.98","[-0.09,  0.09]"
"Means","proximity_corona","-0.00","0.98","[-0.12,  0.12]"
"Means","mandatory_vaccination","1.35***","0.00","[ 1.24,  1.46]"
"Means","age","0.05","0.23","[-0.03,  0.12]"
"Means","gender","0.09","0.10","[-0.02,  0.19]"
"Means","religious","-0.06","0.31","[-0.17,  0.06]"
"Means","politx","-0.03","0.21","[-0.07,  0.02]"
"Means","polity","0.01","0.56","[-0.04,  0.07]"
"Means","political_view","-0.03","0.38","[-0.10,  0.04]"
"Means","education","-0.02","0.29","[-0.05,  0.02]"
"Means","distancing_social_norm","0.07*","0.02","[ 0.01,  0.13]"
"Means","preference_tightness","0.04","0.18","[-0.02,  0.09]"
"Means","conspiracy1","-0.06","0.16","[-0.13,  0.02]"
"Variances","date","0.00","0.89","[ 0.00,  0.00]"
"Variances","Dt","0.01","0.87","[-0.13,  0.16]"
"Variances","risk_perception_infect","0.01","0.93","[-0.14,  0.15]"
"Variances","economic_risk_perception","0.01","0.78","[-0.08,  0.10]"
"Variances","clear_message","0.01","0.91","[-0.10,  0.11]"
"Variances","trust_government","0.01","0.92","[-0.14,  0.15]"
"Variances","punishing_deviation","0.01","0.94","[-0.18,  0.19]"
"Variances","employment_status","0.01","0.93","[-0.26,  0.29]"
"Variances","proximity_corona","0.01","0.95","[-0.33,  0.35]"
"Variances","mandatory_vaccination","0.14*","0.03","[ 0.01,  0.27]"
"Variances","age","0.00","0.97","[-0.12,  0.13]"
"Variances","gender","0.00","0.98","[-0.39,  0.40]"
"Variances","religious","0.01","0.96","[-0.35,  0.36]"
"Variances","politx","0.01","0.88","[-0.07,  0.08]"
"Variances","polity","0.00","0.96","[-0.11,  0.11]"
"Variances","political_view","0.01","0.97","[-0.26,  0.27]"
"Variances","education","0.00","0.94","[-0.06,  0.07]"
"Variances","distancing_social_norm","0.00","0.88","[-0.06,  0.07]"
"Variances","preference_tightness","0.00","0.97","[-0.13,  0.14]"
"Variances","conspiracy1","0.00","0.96","[-0.18,  0.19]"
