"paramheader","param","est_sig","pval","confint"
"DV_SOCIAL_.ON","TIGHTNESS","-0.02","0.69","[-0.12,  0.08]"
"Means","date","0.00","0.86","[-0.01,  0.01]"
"Means","Dt","-0.08*","0.03","[-0.16, -0.01]"
"Means","risk_perception_infect","0.00","0.97","[-0.07,  0.08]"
"Means","economic_risk_perception","0.00","0.92","[-0.08,  0.09]"
"Means","distancing_social_norm","-0.13**","0.00","[-0.20, -0.05]"
"Means","clear_message","-0.03","0.44","[-0.12,  0.05]"
"Means","trust_government","0.05","0.10","[-0.01,  0.12]"
"Means","preference_tightness","-0.09**","0.01","[-0.16, -0.03]"
"Means","punishing_deviation","-0.01","0.76","[-0.08,  0.06]"
"Means","conspiracy1","0.01","0.65","[-0.04,  0.06]"
"Means","employment_status","0.44***","0.00","[ 0.22,  0.67]"
"Means","proximity_corona","0.01","0.92","[-0.15,  0.17]"
"Means","social_contact_others","1.10***","0.00","[ 1.02,  1.18]"
"Means","age","-0.08","0.11","[-0.17,  0.02]"
"Means","gender","0.07","0.40","[-0.09,  0.24]"
"Means","religious","-0.10","0.21","[-0.26,  0.06]"
"Means","politx","-0.01","0.88","[-0.08,  0.07]"
"Means","polity","-0.03","0.48","[-0.13,  0.06]"
"Means","political_view","0.05","0.28","[-0.04,  0.14]"
"Means","education","-0.03","0.61","[-0.13,  0.08]"
"Variances","date","0.00","0.82","[ 0.00,  0.00]"
"Variances","Dt","0.00","0.98","[-0.22,  0.22]"
"Variances","risk_perception_infect","0.03","0.78","[-0.18,  0.24]"
"Variances","economic_risk_perception","0.10","0.11","[-0.02,  0.21]"
"Variances","distancing_social_norm","0.02","0.77","[-0.12,  0.16]"
"Variances","clear_message","0.03","0.80","[-0.17,  0.22]"
"Variances","trust_government","0.02","0.86","[-0.19,  0.22]"
"Variances","preference_tightness","0.18*","0.01","[ 0.04,  0.32]"
"Variances","punishing_deviation","0.03","0.81","[-0.23,  0.30]"
"Variances","conspiracy1","0.04","0.53","[-0.08,  0.16]"
"Variances","employment_status","0.90***","0.00","[ 0.48,  1.32]"
"Variances","proximity_corona","0.06","0.80","[-0.44,  0.56]"
"Variances","social_contact_others","0.47***","0.00","[ 0.33,  0.62]"
"Variances","age","0.02","0.83","[-0.21,  0.26]"
"Variances","gender","0.08","0.64","[-0.27,  0.43]"
"Variances","religious","0.04","0.85","[-0.33,  0.40]"
"Variances","politx","0.01","0.86","[-0.15,  0.18]"
"Variances","polity","0.01","0.93","[-0.22,  0.24]"
"Variances","political_view","0.06","0.66","[-0.20,  0.32]"
"Variances","education","0.06","0.53","[-0.13,  0.25]"
