"paramheader","param","est_sig","pval","confint"
"DV_CONTAIN.ON","TIGHTNESS","0.02","0.81","[-0.17,  0.21]"
"Means","age","0.00","0.59","[-0.01,  0.02]"
"Means","gender","-0.02","0.69","[-0.12,  0.08]"
"Means","religious","-0.08","0.11","[-0.18,  0.02]"
"Means","politx","-0.03","0.74","[-0.18,  0.13]"
"Means","polity","0.04","0.72","[-0.20,  0.29]"
"Means","political_view","1.06***","0.00","[ 0.65,  1.47]"
"Means","education","-0.11","0.47","[-0.40,  0.19]"
"Means","risk_perception_infect","0.10","0.50","[-0.19,  0.38]"
"Means","economic_risk_perception","0.14**","0.01","[ 0.04,  0.24]"
"Means","clear_message","-0.01","0.84","[-0.12,  0.10]"
"Means","trust_government","-0.04","0.31","[-0.12,  0.04]"
"Means","punishing_deviation","0.06","0.61","[-0.17,  0.29]"
"Means","employment_status","0.00","0.99","[-0.05,  0.05]"
"Variances","age","0.00","1.00","[ 0.00,  0.00]"
"Variances","gender","0.00","0.92","[-0.02,  0.03]"
"Variances","religious","0.16","0.66","[-0.57,  0.90]"
"Variances","politx","0.00","0.98","[-0.28,  0.29]"
"Variances","polity","0.15","0.79","[-0.97,  1.27]"
"Variances","political_view","0.34**","0.00","[ 0.10,  0.59]"
"Variances","education","0.01","0.98","[-0.70,  0.72]"
"Variances","risk_perception_infect","0.02","0.98","[-2.25,  2.29]"
"Variances","economic_risk_perception","0.18","0.64","[-0.58,  0.95]"
"Variances","clear_message","0.00","0.99","[-0.98,  0.98]"
"Variances","trust_government","0.00","1.00","[-1.80,  1.80]"
"Variances","punishing_deviation","0.00","0.99","[-0.96,  0.97]"
"Variances","employment_status","0.01","0.95","[-0.30,  0.32]"
